Created Date,Agency,Complaint Type,Location Type,Street Name,City
January,NYPD,Noise - Commercial,Club/Bar/Restaurant,2 AVENUE,NEW YORK
January,NYPD,Noise - Residential,Residential Building/House,ALBERMARLE ROAD,BROOKLYN
January,NYPD,Noise - Street/Sidewalk,Street/Sidewalk,EAST 17 STREET,BROOKLYN
January,NYPD,Noise - Street/Sidewalk,Street/Sidewalk,SEIGAL STREET,BROOKLYN
January,NYPD,Noise - Residential,Residential Building/House,COLONIAL ROAD,BROOKLYN
January,TLC,Taxi Complaint,,,NEW YORK
January,TLC,Taxi Report,,69 STREET,WOODSIDE
January,NYPD,Noise - Residential,Residential Building/House,VALENTINE AVENUE,BRONX
January,NYPD,Noise - Residential,Residential Building/House,WEST 26 STREET,NEW YORK
January,DCA,Consumer Complaint,,6 AVENUE,NEW YORK
January,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,EAST  108 STREET,NEW YORK
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EASTBURN AVENUE,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST TREMONT AVENUE,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,OCEAN PARKWAY,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,ROCKAWAY PARKWAY,BROOKLYN
January,DPR,New Tree Request,Street,EAST 85 STREET,NEW YORK
January,NYPD,Illegal Parking,Street/Sidewalk,JUMEL TERRACE,NEW YORK
January,DEP,Noise,,,NEW YORK
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,LINDEN BOULEVARD,Cambria Heights
January,DOB,General Construction/Plumbing,,BILLINGSLEY TERRACE,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST  221 STREET,BRONX
January,DOT,Street Condition,Street,,NEW YORK
January,NYPD,Blocked Driveway,Street/Sidewalk,CLARKSON AVENUE,BROOKLYN
January,DOB,Electrical,,CORONA AVENUE,STATEN ISLAND
January,DOT,Street Condition,,,Whitestone
January,NYPD,Noise - Residential,Residential Building/House,EAST 196 STREET,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,ARDEN STREET,NEW YORK
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,SHORE FRONT PARKWAY,Rockaway Park
January,NYPD,Noise - Commercial,Store/Commercial,CENTRAL AVENUE,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EAST  235 STREET,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,BOYNTON AVENUE,BRONX
January,NYPD,Noise - Residential,Residential Building/House,WEST 150 STREET,NEW YORK
January,NYPD,Noise - Commercial,Store/Commercial,HALSEY STREET,BROOKLYN
January,NYPD,Noise - Residential,Residential Building/House,HOLLAND AVENUE,BRONX
January,DSNY,Missed Collection (All Materials),Sidewalk,UNION PORT ROAD,BRONX
January,DOT,Traffic Signal Condition,,,
January,DOB,General Construction/Plumbing,,WEST   47 STREET,NEW YORK
January,NYPD,Noise - Residential,Residential Building/House,SEDGWICK AVENUE,BRONX
January,NYPD,Animal Abuse,House and Store,CAMBRIA AVENUE,LITTLE NECK
January,NYPD,Noise - Residential,Residential Building/House,UNIVERSITY AVENUE,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,ADAMS STREET,BRONX
January,DOT,Street Light Condition,,,Queens Village
January,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,94 STREET,Jackson Heights
January,HPD,WATER LEAK,RESIDENTIAL BUILDING,WALLACE AVENUE,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,GERARD AVENUE,BRONX
January,DOB,General Construction/Plumbing,,WATER STREET,NEW YORK
January,DFTA,Home Delivered Meal Complaint,Senior Address,,FLUSHING
January,DOT,Sidewalk Condition,Sidewalk,,FLUSHING
January,DSNY,Dirty Conditions,Sidewalk,BROADWAY,NEW YORK
January,HPD,PAINT/PLASTER,RESIDENTIAL BUILDING,LINCOLN PLACE,BROOKLYN
January,DOT,Street Sign - Damaged,Street,,LONG ISLAND CITY
January,DOT,Street Condition,,FILLMORE STREET,STATEN ISLAND
January,DCA,Consumer Complaint,,NORTHERN BOULEVARD,FLUSHING
January,HPD,PLUMBING,RESIDENTIAL BUILDING,ONDERDONK AVENUE,Ridgewood
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,ARDEN STREET,NEW YORK
January,DOT,Street Condition,Street,LINDEN BOULEVARD,BROOKLYN
January,DOB,General Construction/Plumbing,,PARK AVENUE,NEW YORK
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,EMMONS AVENUE,BROOKLYN
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,UNION AVENUE,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,PERRY AVENUE,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,PROSPECT AVENUE,BRONX
January,HPD,HEAT/HOT WATER,RESIDENTIAL BUILDING,VYSE AVENUE,BRONX
January,HPD,UNSANITARY CONDITION,RESIDENTIAL BUILDING,BEACH  113 STREET,Rockaway Park
